,items,names
0,56,"Пиво светлое (пастеризованное) ""Воронежское Жигулевское"" бут,Воронеж"
1,1570,"Пиво светлое ""Жигулевское"""
2,2026,"Пиво ""Бавария Премиум Пилзнер"" (""Bavaria Premium Pilsener"") светлое. Пастеризованное. 4,9%, Бутылка "
3,3721,Хлеб
4,5454,Лимонад
5,8713,"Пиво светлое (пастеризованное) ""Карлсберг"" (""Carlsberg"") Бан, Ростов"
6,14970,"Пиво ""Вайс Берг пшеничное"" светлое нефильтрованное неосветленное непастеризованное э.н.с. 12%"
7,15516,сидр яблочный
8,18013,Пельмени Аппетитные
9,18335,круассан классический
10,20410,Горячий шоколад
11,22010,Сэндвич
12,24437,"Напиток брожения медовуха слабоалкогольный «Жигулёвская» 0,5 с/б"
13,25190,"ПИВО ПЕННАЯ КОЛЛЕКЦИЯ ЗОЛОТО 5,2% 0,5Л Ж/Б (ЧЕБОКСАРЫ)"
14,26530,Немецкое светлое
15,29165,чизкейк нью-йорк
16,29287,"Водка ""Белебеевская классическая"""
17,39103,"Пиво светлое нефильтрованное ""Варим сусло"" 0,5 л. с/б"
18,43842,кофе по-венски
19,47789,"Водка ""Глазовская классическая"""
20,1086328,"Водка особая ""Глазов"""
21,1141137,"Пиво светлое фильтрованное пастеризованное ""КЕР САРИ СВЕТЛОЕ"" 5.3% 0.5л "
22,1180992,"Пиво светлое ""Булгарпиво белое пшеничное"""
23,1227008,Winston Super Slim Blue
24,1240333,"Водка ""Сталковская Люкс"""
25,1246453,Топленая карамель
26,1268722,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""ШИХАН"", алк. 4.7% об. ПЭТ бутылка вместимостью 1,4 л_SH"
27,1280164,"Пиво "" Ирландский эль"" Шемрок"
28,1332782,"Пиво светлое фильтрованное пастеризованное ""Кер сари светлое"". ПЭТ"
29,1334124,"Пиво светлое фильтрованное пастеризованное ""Волжские зори"". Кег"
30,1389212,"Пиво ""Крюгер Классический'"
31,1400409,Чешское светлое
32,1416649,Кофе по деревенски
33,1416650,Латте черничный
34,1544449,Листовой чай
35,1561847,"Водка ""Русь матушка премиум"""
36,1636314,Бутылка1.5л ПЭТ
37,1665523,"Пиво ""КЕР САРИ"" светлое Букет Чувашии 0,5л. ж/б"
38,1724814,"Пиво ""Жигулевское"" светлое Букет Чувашии бут. 0,5л"
39,1793284,"вода кубай 1.5л газ не газP"" В АССОРТИМ.  0,5Л"
40,1804408,"Пиво ""Мюнхенское"""
41,1850645,"Пиво ""МАЗАЙ СВЕТЛЫЙ"" светлое нефильтрованное неосветленное непастеризованное э.н.с. 12%"
42,1996929,"Пиво темное фильтрованное пастеризованное ""Кер сари темное"". ПЭТ 1,5  алк. 4,3%"
43,2315324,Сигареты LD Club Compact Blue 20шт т/у
44,2320385,Семечки СКОВОРОДКИНО 120г м/у
45,2328733,Сигареты BUSINESS CLASS Silver Leaf 20 шт
46,2332787,Шоколад КРАСНЫЙ ОКТЯБРЬ Алёнка Молочный 60 г
47,2363327,Сигареты ДОНСКОЙ ТАБАК Темный 1/10
48,2399967,Мороженое ФАБРИКА ГРЕЗ Банан Киви С Клубникой Вафельный Стаканчик 70г м/у
49,2451151,"Сигареты с фильтром ""Rothmans Demi"" новая капсула (МРЦ 85)"
50,3458096,БедроЦБ замор.монолит
51,3522032,Бедро ЦБ замор.(подложка)
52,3918907,Квас Благодей розлив
